INITIALS,SURNAME,TITLE,POST-NOMINALS,SALUTATION,PARTY,ELECTORATE,MINISTRY,CONTACT ADDRESS LINE1,CONTACT ADDRESS LINE2,CONTACT ADDRESS LINE3,CONTACT ADDRESS SUBURB,CONTACT ADDRESS STATE,CONTACT ADDRESS POSTCODE,CONTACT ADDRESS POBOX ,CONTACT ADDRESS POBOX SUBURB,CONTACT ADDRESS POBOX STATE,CONTACT ADDRESS POBOX POSTCODE,CONTACT ADDRESS EMAIL,CONTACT ADDRESS PHONE,CONTACT ADDRESS FAX,CONTACT ADDRESS WEBSITE,MINISTERIAL OFFICE ADDRESS LINE1,MINISTERIAL OFFICE ADDRESS LINE2,MINISTERIAL OFFICE ADDRESS LINE3,MINISTERIAL OFFICE ADDRESS SUBURB,MINISTERIAL OFFICE ADDRESS STATE,MINISTERIAL OFFICE ADDRESS POSTCODE,MINISTERIAL OFFICE POBOX ,MINISTERIAL OFFICE POBOX SUBURB,MINISTERIAL OFFICE POBOX STATE,MINISTERIAL OFFICE POBOX POSTCODE,MINISTERIAL OFFICE EMAIL,MINISTERIAL OFFICE PHONE,MINISTERIAL OFFICE FAX,MINISTERIAL OFFICE WEBSITE,ALTERNATIVE OFFICE ADDRESS LINE1,ALTERNATIVE OFFICE ADDRESS LINE2,ALTERNATIVE OFFICE ADDRESS LINE3,ALTERNATIVE OFFICE ADDRESS SUBURB,ALTERNATIVE OFFICE ADDRESS STATE,ALTERNATIVE OFFICE ADDRESS POSTCODE,ALTERNATIVE OFFICE POBOX ,ALTERNATIVE OFFICE POBOX SUBURB,ALTERNATIVE OFFICE POBOX STATE,ALTERNATIVE OFFICE POBOX POSTCODE,ALTERNATIVE OFFICE EMAIL,ALTERNATIVE OFFICE PHONE,ALTERNATIVE OFFICE FAX,ALTERNATIVE OFFICE WEBSITE,OFFICE HOLDER
G.E.,Brookes,Mr,M.P.,Mr Brookes,Liberal Party,East Hills,,20 Revesby Place,,,REVESBY,NSW,2212,,,,,easthills@parliament.nsw.gov.au,(02) 9772 2774,(02) 9792 1718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L.J.,Burney,The Hon.,M.P. HonDEd DipEd,Ms Burney,Australian Labor Party,Canterbury,,Suites 201 & 202 Level 2,308-312 Beamish Street,,CAMPSIE,NSW,2194,,,,,canterbury@parliament.nsw.gov.au,(02) 9718 1234,(02) 9787 1999,,Parliament House,Macquarie Street,,SYDNEY,NSW,2000,,,,,,(02) 9230 2310,(02) 9230 3355,,,,,,,,,,,,,,,,
P.A.,Car,Ms,M.P.,Ms Car,Australian Labor Party,Londonderry,,Shop 12,82 Victoria Street,,WERRINGTON,NSW,2747,,,,,londonderry@parliament.nsw.gov.au,(02) 9833 1122,(02) 9623 1185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y.M.,Catley,Ms,M.P.,Ms Catley,Australian Labor Party,Swansea,,Shop 1,204-206 Pacific Highway,,SWANSEA,NSW,2281,,,,,swansea@parliament.nsw.gov.au,(02) 4972 1133,(02) 4972 1494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.,Chanthivong,Mr,M.P. BComm MEc MSc,Mr Chanthivong,Australian Labor Party,Macquarie Fields,,Shop 18 Carnes Hill Marketplace,Corner Cowpasture & Kurrajong Roads,,HORNINGSEA PARK,NSW,2171,,,,,macquariefields@parliament.nsw.gov.au,(02) 9608 8991,(02) 9608 0606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.F.,Conolly,Mr,M.P. BA DipEd GradDipRS GradDipEd,Mr Conolly,Liberal Party,Riverstone,,Shop 20 Stanhope Village,2 Sentry Drive,,STANHOPE GARDENS,NSW,2768,,,,,riverstone@parliament.nsw.gov.au,(02) 8883 3499,(02) 8883 3355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.J.,Constance,The Hon.,M.P.,Minister,Liberal Party,Bega,Minister for Transport and Infrastructure,122 Carp Street,,,BEGA,NSW,2550,,,,,bega@parliament.nsw.gov.au,(02) 6492 2056,(02) 6492 3578,,52 Martin Place,,,SYDNEY,NSW,2000,GPO Box 5341,SYDNEY,NSW,2001,"<a href = ""https://www.nsw.gov.au/contacttransportminister"" target=""_new""> Contact the Minister for Transport and Infrastructure</a>",(02) 8574 5807,(02) 9339 5512,,,,,,,,,,,,,,,,
M.J.,Coure,Mr,M.P.,Mr Coure,Liberal Party,Oatley,,8 Ormonde Parade,,,HURSTVILLE,NSW,2220,,,,,oatley@parliament.nsw.gov.au,(02) 9580 9349,(02) 9580 9103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputy Government Whip
T.C.,Crakanthorp,Mr,M.P.,Mr Crakanthorp,Australian Labor Party,Newcastle,,Ground Floor,414 Hunter Street,,NEWCASTLE,NSW,2300,,,,,newcastle@parliament.nsw.gov.au,(02) 4926 1126,(02) 4926 2134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A.S.,Crouch,Mr,M.P.,Mr Crouch,Liberal Party,Terrigal,,Shop 3 Fountain Plaza,148-158 The Entrance Road,,ERINA,NSW,2250,,,,,terrigal@parliament.nsw.gov.au,(02) 4365 1906,(02) 4365 4768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.J.,Daley,Mr,M.P. DipLaw,Mr Daley,Australian Labor Party,Maroubra,,Level 5,806 Anzac Parade,,MAROUBRA,NSW,2035,,,,,maroubra@parliament.nsw.gov.au,(02) 9349 6440,(02) 9349 4594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.,Davies,Mrs,M.P. BAppSc(Phty),Mrs Davies,Liberal Party,Mulgoa,,Shop 1,159 Queen Street,,ST MARYS,NSW,2760,PO Box 138,St Marys,NSW,2760,mulgoa@parliament.nsw.gov.au,(02) 9833 2913,(02) 9833 4063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parliamentary Secretary
J.,Dib,Mr,M.P.,Mr Dib,Australian Labor Party,Lakemba,,Shop SP319,Roselands Shopping Centre,Roselands Drive,ROSELANDS,NSW,2196,,,,,lakemba@parliament.nsw.gov.au,(02) 9759 5000,(02) 9759 1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
V.M.,Dominello,The Hon.,M.P.,Minister,Liberal Party,Ryde,Minister for Innovation and Better Regulation,Suite 202 Ground Floor,5-9 Devlin Street,,RYDE,NSW,2112,,,,,ryde@parliament.nsw.gov.au,(02) 9808 3288,(02) 9877 6222,,52 Martin Place,,,SYDNEY,NSW,2000,GPO Box 5341,SYDNEY,NSW,2001,office@dominello.minister.nsw.gov.au,(02) 8574 6607,(02) 9339 5526,,,,,,,,,,,,,,,,
T.L.,Doyle,Ms,M.P. BA DipEd,Ms Doyle,Australian Labor Party,Blue Mountains,,132 Macquarie Road,,,SPRINGWOOD,NSW,2777,,,,,bluemountains@parliament.nsw.gov.au,(02) 4751 3298,(02) 4751 1245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.A.,Elliott,The Hon.,M.P. BA MA,Minister,Liberal Party,Baulkham Hills,Minister for Corrections; Minister for Emergency Services; and Minister for Veterans Affairs,Suite 1,25-33 Old Northern Road,,BAULKHAM HILLS,NSW,2153,,,,,baulkhamhills@parliament.nsw.gov.au,(02) 9686 3110,(02) 9686 3212,,52 Martin Place,,,SYDNEY,NSW,2000,GPO Box 5341,SYDNEY,NSW,2001,office@elliott.minister.nsw.gov.au,(02) 8574 6290,(02) 9339 5540,,,,,,,,,,,,,,,,
L.J.,Evans,Mr,M.P.,Mr Evans,Liberal Party,Heathcote,,Shops 1 & 2,17 - 23 Station Street,,ENGADINE,NSW,2233,,,,,heathcote@parliament.nsw.gov.au,(02) 9548 0144,(02) 9548 5639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Temporary Speaker
J.D.,Finn,Ms,M.P. BA MEnvStud MSocSc(IntlDev),Ms Finn,Australian Labor Party,Granville,,160 Merrylands Road,,,MERRYLANDS,NSW,2160,,,,,granville@parliament.nsw.gov.au,(02) 9637 1656,(02) 9897 1434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L. A.,Foley,Mr,M.P.,Mr Foley,Australian Labor Party,Auburn,,54-58 Amy Street,,,REGENTS PARK,NSW,2143,,,,,auburn@parliament.nsw.gov.au,(02) 9644 6972,(02) 9644 8290,,Parliament House,Macquarie Street,,SYDNEY,NSW,2000,,,,,leader.opposition@parliament.nsw.gov.au,(02) 9230 2310,(02) 9230 3349,,,,,,,,,,,,,,,,Leader of the Opposition
A.R.G.,Fraser,Mr,M.P.,Mr Fraser,The Nationals,Coffs Harbour,,1/9 Park Avenue,,,COFFS HARBOUR,NSW,2450,,,,,coffsharbour@parliament.nsw.gov.au,(02) 6652 6500,(02) 6652 7934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Assistant Speaker
A.R.,Gee,Mr,M.P. BEc(Hons) LLB,Mr Gee,The Nationals,Orange,,123 Byng Street,,,ORANGE,NSW,2800,,,,,orange@parliament.nsw.gov.au,(02) 6362 5199,(02) 6361 3922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parliamentary Secretary
T.,George,The Hon.,M.P.,Mr George,The Nationals,Lismore,,55 Carrington Street,,,LISMORE,NSW,2480,PO Box 52,Lismore,NSW,2480,lismore@parliament.nsw.gov.au,(02) 6621 3624,(02) 6622 1403,,Parliament of New South Wales,Macquarie Street,,SYDNEY,NSW,2000,,,,,lismore@parliament.nsw.gov.au,(02) 9230 2059,(02) 9230 2220,,,,,,,,,,,,,,,,Deputy Speaker
M.R.,Gibbons,Ms,M.P.,Ms Gibbons,Liberal Party,Holsworthy,,60 Walder Road,,,HAMMONDVILLE,NSW,2170,,,,,holsworthy@parliament.nsw.gov.au,(02) 9825 3653,(02) 9825 4861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Temporary Speaker
P.J.,Goward,The Hon.,M.P.,Minister,Liberal Party,Goulburn,Minister for Mental Health; Minister for Medical Research; Assistant Minister for Health; Minister for Women; and Minister for the Prevention of Domestic Violence and Sexual Assault,Shops 1 and 2,167-173 Auburn Street,,GOULBURN,NSW,2580,PO Box 168,GOULBURN,NSW,2580,goulburn@parliament.nsw.gov.au,(02) 4822 6444,(02) 4822 6400,,52 Martin Place,,,SYDNEY,NSW,2000,GPO Box 5341,SYDNEY,NSW,2001,office@goward.minister.nsw.gov.au,(02) 8574 5907,(02) 9339 5520,,,,,,,,,,,,,,,,
T.W.,Grant,The Hon.,M.P.,Minister,The Nationals,Dubbo,Deputy Premier; Minister for Justice and Police; Minister for the Arts; and Minister for Racing,Shop 1,18 Talbragar Street,,DUBBO,NSW,2830,,,,,dubbo@parliament.nsw.gov.au,(02) 6882 3577,(02) 6882 3689,,52 Martin Place,,,SYDNEY,NSW,2000,GPO Box 5341,SYDNEY,NSW,2001,"<a href = ""https://www.nsw.gov.au/ministercontactform/deputy-premier"" target=""_new""> Contact the Deputy Premier</a>",(02) 8574 6800,(02) 9339 5536,,,,,,,,,,,,,,,,
A.H.,Greenwich,Mr,M.P.,Mr Greenwich,Independent,Sydney,,58 Oxford Street,,,PADDINGTON,NSW,2021,,,,,sydney@parliament.nsw.gov.au,(02) 9360 3053,(02) 9331 6963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,Gulaptis,Mr,M.P.,Mr Gulaptis,The Nationals,Clarence,,11 Prince Street,,,GRAFTON,NSW,2460,,,,,clarence@parliament.nsw.gov.au,(02) 6643 1244,(02) 6642 7574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parliamentary Secretary
S.E.,Hancock,The Hon.,M.P. BA DipEd,Mrs Hancock,Liberal Party,South Coast,,1/57 Plunkett Street,,,NOWRA,NSW,2541,,,,,southcoast@parliament.nsw.gov.au,(02) 4421 0222,(02) 4422 1180,,Parliament of New South Wales,Macquarie Street,,SYDNEY,NSW,2000,,,,,speaker@parliament.nsw.gov.au,(02) 9230 2201,(02) 9230 2846,,,,,,,,,,,,,,,,Speaker
J.E.,Harrison,Ms,M.P.,Ms Harrison,Australian Labor Party,Charlestown,,Unit 3,313 Charlestown Road,,CHARLESTOWN,NSW,2290,,,,,charlestown@parliament.nsw.gov.au,(02) 4942 1242,(02) 4942 1060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.R.,Harris,Mr,M.P.,Mr Harris,Australian Labor Party,Wyong,,Shop 4,142 Pacific Highway,,WYONG,NSW,2259,,,,,wyong@parliament.nsw.gov.au,(02) 4352 2711,(02) 4352 2766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.E.,Haylen,Ms,M.P. BA,Ms Haylen,Australian Labor Party,Summer Hill,,299-301 Marrickville Road,,,MARRICKVILLE,NSW,2204,,,,,summerhill@parliament.nsw.gov.au,(02) 9572 5900,(02) 9572 6414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N.,Hay,Ms,M.P.,Ms Hay,Australian Labor Party,Wollongong,,Suite 2S Rear Ground Floor,111 Crown Street,,WOLLONGONG,NSW,2500,,,,,wollongong@parliament.nsw.gov.au,(02) 4226 5700,(02) 4226 9963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.R.,Hazzard,The Hon.,M.P. BA DipEd LLB(NSW) LLM(Syd),Minister,Liberal Party,Wakehurst,Minister for Family and Community Services; and Minister for Social Housing,Shop 3 637-641 Pittwater Road,,,DEE WHY,NSW,2099,P O Box 405,DEE WHY,NSW,2099,wakehurst@parliament.nsw.gov.au,(02) 9981 1111,(02) 9981 5059,,52 Martin Place,,,SYDNEY,NSW,2000,GPO Box 5341,SYDNEY,NSW,2001,office@hazzard.minister.nsw.gov.au,(02) 8574 6000,(02) 9339 5506,,,,,,,,,,,,,,,,
A.A.,Henskens,Mr,M.P. SC,Mr Henskens,Liberal Party,Ku-ring-gai,,27 Redleaf Avenue,,,WAHROONGA,NSW,2076,,,,,kuringgai@parliament.nsw.gov.au,(02) 9487 8588,(02) 9487 8550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.A.,Hodgkinson,Ms,M.P.,Ms Hodgkinson,The Nationals,Cootamundra,,133 Comur Street,,,YASS,NSW,2582,,,,,cootamundra@parliament.nsw.gov.au,(02) 6226 3311,(02) 6226 3345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parliamentary Secretary
R.,Hoenig,Mr,M.P. DipLaw (SAB),Mr Hoenig,Australian Labor Party,Heffron,,Shop 117,747 Botany Road,,ROSEBERY,NSW,2018,,,,,heffron@parliament.nsw.gov.au,(02) 9699 8166,(02) 9699 8222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.K.,Hornery,Ms,M.P. JP BA(Hist)(Hons),Ms Hornery,Australian Labor Party,Wallsend,,Suite 3 30 Dan Rees Street,,,WALLSEND,NSW,2287,PO Box 324,WALLSEND,NSW,2287,wallsend@parliament.nsw.gov.au,(02) 4950 0955,(02) 4950 0977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K.J.,Humphries,Mr,M.P.,Mr Humphries,The Nationals,Barwon,,Suites 2-6,161 Balo Street,,MOREE,NSW,2400,,,,,barwon@parliament.nsw.gov.au,(02) 6752 5002,(02) 6752 6102,,11 Barton Street,,,COBAR,NSW,2835,,,,,,(02) 6836 3722,(02) 6836 3811,,1/142 Argent Street,,,BROKEN HILL,NSW,2880,,,,,,(08) 8087 3315,(08) 8087 1796,,
M.J.,Johnsen,Mr,M.P.,Mr Johnsen,The Nationals,Upper Hunter,,20 Bridge Street,,,MUSWELLBROOK,NSW,2333,,,,,upperhunter@parliament.nsw.gov.au,(02) 6543 1065,(02) 6543 1416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S.,Kamper,Mr,M.P.,Mr Kamper,Australian Labor Party,Rockdale,,478 Princes Highway,,,ROCKDALE,NSW,2216,,,,,rockdale@parliament.nsw.gov.au,(02) 9597 1414,(02) 9567 0508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.J.,Kean,Mr,M.P. BBus GradDipCA,Mr Kean,Liberal Party,Hornsby,,Suite 5 The Madison,25-29 Hunter Street,,HORNSBY,NSW,2077,,,,,hornsby@parliament.nsw.gov.au,(02) 9476 3411,(02) 9476 2965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parliamentary Secretary
N.,Lalich,Mr,M.P.,Mr Lalich,Australian Labor Party,Cabramatta,,Suite 10 Level 1,5 Arthur Street,,CABRAMATTA,NSW,2166,,,,,cabramatta@parliament.nsw.gov.au,(02) 9724 3381,(02) 9724 6056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Deputy Opposition Whip
G.,Lee,Dr,M.P. BAppSc(Hort) MBA DBA,Dr Lee,Liberal Party,Parramatta,,90 George Street,,,PARRAMATTA,NSW,2150,,,,,parramatta@parliament.nsw.gov.au,(02) 9891 4722,(02) 9891 5618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parliamentary Secretary
J.,Leong,Ms,M.P. BA(Hons),Ms Leong,The Greens,Newtown,,383 King Street,,,NEWTOWN,NSW,2042,,,,,newtown@parliament.nsw.gov.au,(02) 9517 2800,(02) 9517 2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.G.,Lynch,The Hon.,M.P.,Mr Lynch,Australian Labor Party,Liverpool,,100 Moore Street,,,LIVERPOOL,NSW,2170,,,,,liverpool@parliament.nsw.gov.au,(02) 9602 0040,(02) 9821 1807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.W.,Maguire,Mr,M.P.,Mr Maguire,Liberal Party,Wagga Wagga,,76 Morgan Street,,,WAGGA WAGGA,NSW,2650,,,,,waggawagga@parliament.nsw.gov.au,(02) 6921 1622,(02) 6921 4424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parliamentary Secretary
A.J.,Marshall,Mr,M.P.,Mr Marshall,The Nationals,Northern Tablelands,,Suite 1 Ground Floor,175 Rusden Street,,ARMIDALE,NSW,2350,,,,,northerntablelands@parliament.nsw.gov.au,(02) 6772 5552,(02) 6772 5026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Temporary Speaker
P.J.H.,McDermott,Dr,M.P. BA LLB(Hons) MLLR PhD Laws DipAML/CTF,Dr McDermott,Australian Labor Party,Prospect,,2/679 The Horsley Drive,,,SMITHFIELD,NSW,2164,,,,,prospect@parliament.nsw.gov.au,(02) 9756 4766,(02) 9756 1544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J.L.,McKay,Ms,M.P. MPA(Syd)(Graduand) GAICD,Ms McKay,Australian Labor Party,Strathfield,,Shop 1,54 Burwood Road,,BURWOOD,NSW,2134,,,,,strathfield@parliament.nsw.gov.au,(02) 9747 1711,(02) 9747 6054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.R.,Mehan,Mr,M.P.,Mr Mehan,Australian Labor Party,The Entrance,,24 The Entrance Road,,,THE ENTRANCE,NSW,2261,,,,,TheEntrance@parliament.nsw.gov.au,(02) 4334 1012,(02) 4334 3840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.,Mihailuk,Ms,M.P. BEc LLB,Ms Mihailuk,Australian Labor Party,Bankstown,,Suite 1 3rd Floor,402-410 Chapel Road,,BANKSTOWN,NSW,2200,,,,,bankstown@parliament.nsw.gov.au,(02) 9708 3838,(02) 9708 3960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.J.,Minns,Mr,M.P.,Mr Minns,Australian Labor Party,Kogarah,,Suite 1 Ground Floor,22-24 Regent Street,,KOGARAH,NSW,2217,,,,,kogarah@parliament.nsw.gov.au,(02) 9587 9684,(02) 9588 7138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B.N.,Notley-Smith,Mr,M.P.,Mr Notley-Smith,Liberal Party,Coogee,,80 Bronte Road,,,BONDI JUNCTION,NSW,2022,,,,,coogee@parliament.nsw.gov.au,(02) 9389 6669,(02) 9387 8845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Temporary Speaker
J.R.,O'Dea,Mr,M.P. BA LLM MBA,Mr O'Dea,Liberal Party,Davidson,,Suite 8A,12 Tryon Road,,LINDFIELD,NSW,2070,,,,,davidson@parliament.nsw.gov.au,(02) 9880 7400,(02) 9880 7488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Parliamentary Secretary
J.T.,Parker,Mr,M.P. BEcon MPolEc,Mr Parker,The Greens,Balmain,,112A Glebe Point Road,,,GLEBE,NSW,2037,,,,,balmain@parliament.nsw.gov.au,(02) 9660 7586,(02) 9660 6112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R.J.,Park,Mr,M.P. BEd (Hons) MEd,Mr Park,Australian Labor Party,Keira,,Shops 2 and 3,247 Princes Highway,,CORRIMAL,NSW,2518,,,,,keira@parliament.nsw.gov.au,(02) 4285 1588,(02) 4285 1858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C.,Patterson,Mr,M.P.,Mr Patterson,Liberal Party,Camden,,66 John Street,,,CAMDEN,NSW,2570,,,,,camden@parliament.nsw.gov.au,(02) 4655 3333,(02) 4655 3325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government Whip
M.J,Pavey,Mrs,M.P.,Mrs Pavey,The Nationals,Oxley,,37 Elbow Street,,,WEST KEMPSEY,NSW,2440,,,,,oxley@parliament.nsw.gov.au,(02) 6562 6190,(02) 6563 1355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D.F.,Perrottet,The Hon.,M.P. LLB BCOM,Minister,Liberal Party,Hawkesbury,Minister for Finance Services and Property,287C Old Northern Road,,,CASTLE HILL,NSW,2154,,,,,hawkesbury@parliament.nsw.gov.au,(02) 9634 7474,(02) 9899 3340,,52 Martin Place,,,SYDNEY,NSW,2000,GPO Box 5341,SYDNEY,NSW,2001,office@perrottet.minister.nsw.gov.au,(02) 8574 6900,(02) 9339 5550,,,,,,,,,,,,,,,,
